r_um,w_comsol_2000Pa_um,w_analitik_2000Pa_um,w_pinn_2000Pa_um,w_comsol_8000Pa_um,w_analitik_8000Pa_um,w_pinn_8000Pa_um,w_comsol_16000Pa_um,w_analitik_16000Pa_um,w_pinn_16000Pa_um
0.000000,-2.763868,-2.390982,-2.742519,-6.179685,-6.038917,-6.188015,-7.760400,-7.760000,-7.452954
3.230200,-2.763336,-2.390494,-2.741316,-6.178701,-6.037685,-6.188156,-7.760400,-7.760000,-7.466004
6.460400,-2.761741,-2.389031,-2.739056,-6.175750,-6.033989,-6.186082,-7.760400,-7.760000,-7.476702
9.690700,-2.759083,-2.386593,-2.735741,-6.170831,-6.027832,-6.181803,-7.760400,-7.760000,-7.485058
12.920900,-2.755364,-2.383182,-2.731376,-6.163947,-6.019217,-6.175333,-7.760400,-7.760000,-7.491081
16.151100,-2.750585,-2.378800,-2.725969,-6.155096,-6.008150,-6.166680,-7.760400,-7.760000,-7.494788
19.381300,-2.744749,-2.373450,-2.719517,-6.144281,-5.994638,-6.155861,-7.760400,-7.760000,-7.496181
22.611500,-2.737858,-2.367135,-2.712034,-6.131503,-5.978688,-6.142885,-7.760400,-7.760000,-7.495270
25.841700,-2.729916,-2.359859,-2.703520,-6.116763,-5.960312,-6.127770,-7.760400,-7.760000,-7.492065
29.072000,-2.720928,-2.351627,-2.693985,-6.100063,-5.939518,-6.110528,-7.760400,-7.760000,-7.486571
32.302200,-2.710896,-2.342443,-2.683434,-6.081406,-5.916322,-6.091174,-7.760400,-7.760000,-7.478794
35.532400,-2.699827,-2.332313,-2.671877,-6.060795,-5.890736,-6.069729,-7.760400,-7.760000,-7.468733
38.762600,-2.687726,-2.321243,-2.659320,-6.038230,-5.862778,-6.046207,-7.760400,-7.760000,-7.456398
41.992800,-2.674599,-2.309241,-2.645775,-6.013717,-5.832464,-6.020621,-7.760400,-7.760000,-7.441783
45.223000,-2.660451,-2.296314,-2.631245,-5.987258,-5.799813,-5.992991,-7.760400,-7.760000,-7.424891
48.453300,-2.645292,-2.282469,-2.615742,-5.958858,-5.764845,-5.963336,-7.760400,-7.760000,-7.405723
51.683500,-2.629127,-2.267715,-2.599279,-5.928520,-5.727583,-5.931674,-7.760400,-7.760000,-7.384276
54.913700,-2.611966,-2.252063,-2.581863,-5.896250,-5.688050,-5.898019,-7.760400,-7.760000,-7.360546
58.143900,-2.593817,-2.235521,-2.563504,-5.862053,-5.646270,-5.862391,-7.760400,-7.760000,-7.334528
61.374100,-2.574689,-2.218101,-2.544218,-5.825934,-5.602271,-5.824811,-7.760400,-7.760000,-7.306218
64.604300,-2.554594,-2.199812,-2.524012,-5.787900,-5.556079,-5.785294,-7.760400,-7.760000,-7.275600
67.834600,-2.533539,-2.180667,-2.502900,-5.747956,-5.507723,-5.743858,-7.760400,-7.732821,-7.242672
71.064800,-2.511539,-2.160678,-2.480895,-5.706112,-5.457238,-5.700524,-7.760400,-7.661939,-7.207418
74.295000,-2.488602,-2.139858,-2.458009,-5.662373,-5.404652,-5.655309,-7.748700,-7.588110,-7.169820
77.525200,-2.464744,-2.118220,-2.434256,-5.616751,-5.350002,-5.608232,-7.728241,-7.511381,-7.129867
80.755400,-2.439974,-2.095779,-2.409646,-5.569253,-5.293322,-5.559308,-7.701895,-7.431802,-7.087531
83.985600,-2.414308,-2.072549,-2.384199,-5.519889,-5.234649,-5.508555,-7.668962,-7.349425,-7.042799
87.215900,-2.387760,-2.048544,-2.357923,-5.468672,-5.174019,-5.455993,-7.630052,-7.264302,-6.995639
90.446100,-2.360343,-2.023781,-2.330837,-5.415610,-5.111477,-5.401640,-7.585544,-7.176493,-6.946031
93.676300,-2.332076,-1.998278,-2.302953,-5.360721,-5.047062,-5.345514,-7.535829,-7.086055,-6.893943
96.906500,-2.302970,-1.972049,-2.274291,-5.304012,-4.980817,-5.287631,-7.481125,-6.993047,-6.839351
100.136700,-2.273047,-1.945114,-2.244864,-5.245505,-4.912787,-5.228013,-7.421793,-6.897532,-6.782219
103.366900,-2.242319,-1.917490,-2.214685,-5.185208,-4.843017,-5.166669,-7.357991,-6.799576,-6.722526
106.597200,-2.210810,-1.889196,-2.183773,-5.123144,-4.771553,-5.103625,-7.290014,-6.699241,-6.660233
109.827400,-2.178532,-1.860251,-2.152147,-5.059326,-4.698448,-5.038899,-7.218001,-6.596602,-6.595320
113.057600,-2.145511,-1.830677,-2.119822,-4.993777,-4.623751,-4.972509,-7.142175,-6.491728,-6.527761
116.287800,-2.111762,-1.800492,-2.086813,-4.926516,-4.547514,-4.904473,-7.062682,-6.384691,-6.457524
119.518000,-2.077308,-1.769719,-2.053144,-4.857563,-4.469790,-4.834815,-6.979670,-6.275566,-6.384597
122.748200,-2.042172,-1.738379,-2.018830,-4.786946,-4.390634,-4.763554,-6.893299,-6.164432,-6.308959
125.978500,-2.006372,-1.706493,-1.983889,-4.714684,-4.310100,-4.690707,-6.803665,-6.051363,-6.230597
129.208700,-1.969938,-1.674087,-1.948341,-4.640811,-4.228252,-4.616309,-6.710924,-5.936449,-6.149511
132.438900,-1.932884,-1.641183,-1.912207,-4.565344,-4.145147,-4.540379,-6.615149,-5.819769,-6.065695
135.669100,-1.895245,-1.607806,-1.875507,-4.488326,-4.060845,-4.462945,-6.516479,-5.701410,-5.979162
138.899300,-1.857037,-1.573980,-1.838260,-4.409777,-3.975410,-4.384034,-6.414980,-5.581459,-5.889926
142.129500,-1.818293,-1.539730,-1.800491,-4.329740,-3.888905,-4.303679,-6.310771,-5.460006,-5.798012
145.359800,-1.779036,-1.505081,-1.762219,-4.248243,-3.801393,-4.221911,-6.203923,-5.337140,-5.703448
148.590000,-1.739294,-1.470063,-1.723469,-4.165328,-3.712947,-4.138770,-6.094529,-5.212962,-5.606280
151.820200,-1.699098,-1.434701,-1.684265,-4.081038,-3.623633,-4.054289,-5.982676,-5.087565,-5.506562
155.050400,-1.658473,-1.399023,-1.644630,-3.995406,-3.533520,-3.968516,-5.868431,-4.961048,-5.404347
158.280600,-1.617456,-1.363057,-1.604589,-3.908490,-3.442682,-3.881489,-5.751894,-4.833511,-5.299709
161.510800,-1.576068,-1.326833,-1.564171,-3.820322,-3.351190,-3.793259,-5.633118,-4.705057,-5.192723
164.741100,-1.534352,-1.290378,-1.523398,-3.730968,-3.259116,-3.703874,-5.512210,-4.575786,-5.083472
167.971300,-1.492330,-1.253726,-1.482302,-3.640464,-3.166544,-3.613393,-5.389222,-4.445814,-4.972059
171.201500,-1.450045,-1.216906,-1.440915,-3.548882,-3.073546,-3.521873,-5.264257,-4.315246,-4.858580
174.431700,-1.407524,-1.179948,-1.399261,-3.456267,-2.980203,-3.429375,-5.137380,-4.184193,-4.743143
177.661900,-1.364806,-1.142886,-1.357376,-3.362687,-2.886595,-3.335968,-5.008682,-4.052768,-4.625863
180.892100,-1.321929,-1.105752,-1.315291,-3.268210,-2.792805,-3.241717,-4.878253,-3.921087,-4.506858
184.122400,-1.278923,-1.068578,-1.273038,-3.172892,-2.698913,-3.146693,-4.746168,-3.789263,-4.386244
187.352600,-1.235837,-1.031399,-1.230659,-3.076823,-2.605010,-3.050982,-4.612543,-3.657424,-4.264163
190.582800,-1.192697,-0.994249,-1.188185,-2.980055,-2.511181,-2.954659,-4.477442,-3.525687,-4.140733
193.813000,-1.149557,-0.957163,-1.145658,-2.882694,-2.417512,-2.857810,-4.341003,-3.394178,-4.016088
197.043200,-1.106443,-0.920177,-1.103115,-2.784793,-2.324096,-2.760522,-4.203294,-3.263021,-3.890361
200.273400,-1.063411,-0.883326,-1.060598,-2.686465,-2.231021,-2.662887,-4.064459,-3.132344,-3.763682
203.503700,-1.020492,-0.846646,-1.018149,-2.587780,-2.138379,-2.564998,-3.924588,-3.002275,-3.636183
206.733900,-0.977737,-0.810177,-0.975816,-2.488845,-2.046269,-2.466956,-3.783819,-2.872953,-3.508003
209.964100,-0.935190,-0.773956,-0.933641,-2.389759,-1.954785,-2.368861,-3.642282,-2.744510,-3.379270
213.194300,-0.892892,-0.738020,-0.891672,-2.290614,-1.864023,-2.270817,-3.500096,-2.617080,-3.250115
216.424500,-0.850899,-0.702410,-0.849958,-2.191542,-1.774082,-2.172930,-3.357440,-2.490804,-3.120668
219.654700,-0.809246,-0.667165,-0.808550,-2.092621,-1.685064,-2.075311,-3.214417,-2.365823,-2.991061
222.885000,-0.767997,-0.632325,-0.767496,-1.994011,-1.597066,-1.978067,-3.071246,-2.242274,-2.861415
226.115200,-0.727185,-0.597931,-0.726854,-1.895792,-1.510198,-1.881322,-2.928036,-2.120312,-2.731869
229.345400,-0.686878,-0.564025,-0.686675,-1.798133,-1.424562,-1.785189,-2.785025,-2.000079,-2.602549
232.575600,-0.647112,-0.530649,-0.647016,-1.701133,-1.340264,-1.689789,-2.642352,-1.881724,-2.473585
235.805800,-0.607952,-0.497845,-0.607931,-1.604954,-1.257411,-1.595247,-2.500254,-1.765400,-2.345111
239.036000,-0.569447,-0.465658,-0.569480,-1.509735,-1.176115,-1.501688,-2.358929,-1.651260,-2.217266
242.266300,-0.531649,-0.434129,-0.531720,-1.415615,-1.096482,-1.409244,-2.218587,-1.539456,-2.090189
245.496500,-0.494625,-0.403305,-0.494711,-1.322781,-1.018630,-1.318052,-2.079509,-1.430152,-1.964039
248.726700,-0.458416,-0.373230,-0.458514,-1.231351,-0.942671,-1.228251,-1.941874,-1.323506,-1.838971
251.956900,-0.423099,-0.343951,-0.423190,-1.141551,-0.868719,-1.139984,-1.806032,-1.219678,-1.715162
255.187100,-0.388714,-0.315513,-0.388800,-1.053493,-0.796893,-1.053403,-1.672163,-1.118834,-1.592798
258.417300,-0.355342,-0.287963,-0.355408,-0.967424,-0.727310,-0.968665,-1.540658,-1.021140,-1.472087
261.647600,-0.323025,-0.261348,-0.323075,-0.883474,-0.660088,-0.885932,-1.411731,-0.926761,-1.353252
264.877800,-0.291841,-0.235717,-0.291868,-0.801887,-0.595353,-0.805384,-1.285779,-0.835873,-1.236555
268.108000,-0.261846,-0.211119,-0.261849,-0.722839,-0.533225,-0.727199,-1.163103,-0.748646,-1.122271
271.338200,-0.233104,-0.187603,-0.233085,-0.646543,-0.473830,-0.651571,-1.044059,-0.665255,-1.010718
274.568400,-0.205692,-0.165218,-0.205641,-0.573246,-0.417292,-0.578707,-0.929075,-0.585877,-0.902241
277.798600,-0.179661,-0.144015,-0.179584,-0.503120,-0.363741,-0.508823,-0.818451,-0.510690,-0.797230
281.028900,-0.155100,-0.124045,-0.154981,-0.436475,-0.313302,-0.442149,-0.712734,-0.439875,-0.696111
