Device: cuda  |  dtype: torch.float32
step      0 | L_energy=9.9738e-01 | lam=0.000 | lr=1.00e-03 | 0.6s
step    200 | L_energy=-4.1725e-01 | lam=0.000 | lr=1.00e-03 | 14.3s
step    400 | L_energy=-5.2661e-01 | lam=0.000 | lr=1.00e-03 | 28.1s
step    600 | L_energy=-4.4226e-01 | lam=0.000 | lr=1.00e-03 | 41.9s
step    800 | L_energy=-4.6788e-01 | lam=0.000 | lr=9.99e-04 | 55.8s
step   1000 | L_energy=-7.7332e-01 | lam=0.000 | lr=9.99e-04 | 69.8s
step   1200 | L_energy=-2.1259e-02 | lam=0.000 | lr=9.99e-04 | 83.7s
step   1400 | L_energy=1.4742e-02 | lam=0.000 | lr=9.98e-04 | 97.7s
step   1600 | L_energy=3.2805e-01 | lam=0.000 | lr=9.98e-04 | 111.8s
step   1800 | L_energy=-5.1012e-01 | lam=0.000 | lr=9.97e-04 | 125.8s
step   2000 | L_energy=-5.7873e-01 | lam=0.000 | lr=9.96e-04 | 139.9s
step   2200 | L_energy=-5.5653e-01 | lam=0.000 | lr=9.96e-04 | 154.1s
step   2400 | L_energy=-3.5459e-01 | lam=0.000 | lr=9.95e-04 | 168.3s
step   2600 | L_energy=-5.7571e-01 | lam=0.000 | lr=9.94e-04 | 182.5s
step   2800 | L_energy=-3.0306e-01 | lam=0.000 | lr=9.93e-04 | 196.8s
step   3000 | L_energy=-5.9980e-01 | lam=0.000 | lr=9.92e-04 | 211.1s
step   3200 | L_energy=-5.6178e-01 | lam=0.000 | lr=9.91e-04 | 225.3s
step   3400 | L_energy=-5.8660e-01 | lam=0.000 | lr=9.90e-04 | 239.6s
step   3600 | L_energy=-6.9305e-01 | lam=0.000 | lr=9.89e-04 | 253.0s
step   3800 | L_energy=-6.6760e-01 | lam=0.000 | lr=9.87e-04 | 266.3s
step   4000 | L_energy=-7.2377e-01 | lam=0.000 | lr=9.86e-04 | 279.6s
step   4200 | L_energy=-2.9765e-01 | lam=0.000 | lr=9.84e-04 | 293.0s
step   4400 | L_energy=-7.5309e-01 | lam=0.000 | lr=9.83e-04 | 306.4s
step   4600 | L_energy=-1.5579e-01 | lam=0.000 | lr=9.81e-04 | 319.7s
step   4800 | L_energy=-5.1339e-01 | lam=0.000 | lr=9.80e-04 | 333.1s
step   5000 | L_energy=-5.8541e-01 | lam=0.000 | lr=9.78e-04 | 346.5s
step   5200 | L_energy=-7.1822e-01 | lam=0.000 | lr=9.76e-04 | 359.9s
step   5400 | L_energy=-5.5939e-01 | lam=0.000 | lr=9.74e-04 | 373.3s
step   5600 | L_energy=-4.6074e-01 | lam=0.000 | lr=9.72e-04 | 386.7s
step   5800 | L_energy=-6.8380e-01 | lam=0.000 | lr=9.70e-04 | 400.1s
step   6000 | L_energy=-3.2851e-01 | lam=0.000 | lr=9.68e-04 | 413.4s
step   6200 | L_energy=-4.1569e-01 | lam=0.000 | lr=9.66e-04 | 426.8s
step   6400 | L_energy=-7.1048e-01 | lam=0.000 | lr=9.64e-04 | 440.1s
step   6600 | L_energy=-6.4647e-01 | lam=0.000 | lr=9.62e-04 | 453.5s
step   6800 | L_energy=-7.0026e-01 | lam=0.000 | lr=9.60e-04 | 466.8s
step   7000 | L_energy=-4.2210e-01 | lam=0.000 | lr=9.57e-04 | 480.1s
step   7200 | L_energy=-7.3678e-01 | lam=0.000 | lr=9.55e-04 | 493.4s
step   7400 | L_energy=-3.7665e-01 | lam=0.000 | lr=9.52e-04 | 506.6s
step   7600 | L_energy=-4.7436e-01 | lam=0.000 | lr=9.50e-04 | 519.9s
step   7800 | L_energy=-3.7600e-01 | lam=0.000 | lr=9.47e-04 | 533.2s
step   8000 | L_energy=-3.7010e-01 | lam=0.000 | lr=9.44e-04 | 546.5s
step   8200 | L_energy=-6.9597e-01 | lam=0.000 | lr=9.42e-04 | 559.7s
step   8400 | L_energy=-4.8016e-01 | lam=0.000 | lr=9.39e-04 | 573.0s
step   8600 | L_energy=-6.6932e-01 | lam=0.000 | lr=9.36e-04 | 586.3s
step   8800 | L_energy=-5.4378e-01 | lam=0.000 | lr=9.33e-04 | 599.6s
step   9000 | L_energy=-7.0379e-01 | lam=0.000 | lr=9.30e-04 | 612.8s
step   9200 | L_energy=-4.0657e-01 | lam=0.000 | lr=9.27e-04 | 626.1s
step   9400 | L_energy=-4.5665e-01 | lam=0.000 | lr=9.24e-04 | 639.4s
step   9600 | L_energy=-4.7712e-01 | lam=0.000 | lr=9.21e-04 | 652.7s
step   9800 | L_energy=-5.7435e-01 | lam=0.000 | lr=9.17e-04 | 665.9s
step  10000 | L_energy=-7.0120e-01 | lam=0.000 | lr=9.14e-04 | 679.2s
  → saved checkpoints/ckpt_step010000.pt
step  10200 | L_energy=-6.0035e-01 | lam=0.000 | lr=9.11e-04 | 692.5s
step  10400 | L_energy=-6.7485e-01 | lam=0.000 | lr=9.07e-04 | 705.9s
step  10600 | L_energy=-3.8541e-01 | lam=0.000 | lr=9.04e-04 | 719.2s
step  10800 | L_energy=-4.1990e-01 | lam=0.000 | lr=9.00e-04 | 732.5s
step  11000 | L_energy=-8.4061e-01 | lam=0.000 | lr=8.97e-04 | 745.8s
step  11200 | L_energy=-3.9151e-01 | lam=0.000 | lr=8.93e-04 | 759.1s
step  11400 | L_energy=-7.2235e-01 | lam=0.000 | lr=8.89e-04 | 772.5s
step  11600 | L_energy=-5.3950e-01 | lam=0.000 | lr=8.86e-04 | 785.8s
step  11800 | L_energy=-5.7612e-01 | lam=0.000 | lr=8.82e-04 | 799.1s
step  12000 | L_energy=-5.6780e-01 | lam=0.000 | lr=8.78e-04 | 812.4s
step  12200 | L_energy=-7.7117e-01 | lam=0.000 | lr=8.74e-04 | 825.8s
step  12400 | L_energy=-7.7750e-01 | lam=0.000 | lr=8.70e-04 | 839.1s
step  12600 | L_energy=-3.7224e-01 | lam=0.000 | lr=8.66e-04 | 852.4s
step  12800 | L_energy=-5.7515e-01 | lam=0.000 | lr=8.62e-04 | 865.7s
step  13000 | L_energy=-4.1487e-01 | lam=0.000 | lr=8.58e-04 | 879.0s
step  13200 | L_energy=-6.3793e-01 | lam=0.000 | lr=8.54e-04 | 892.4s
step  13400 | L_energy=-3.6740e-01 | lam=0.000 | lr=8.50e-04 | 905.7s
